id,no_examples,correct,total,accuracy
1,32768,15783,18432,85.6
2,16384,29623,34816,85.1
3,8192,36149,43008,84.1
4,4096,38979,47104,82.8
5,2048,39480,49152,80.3
6,1024,39408,50176,78.5
7,512,39176,50688,77.3
8,256,38045,50944,74.7
9,128,33717,51072,66.0
10,60,29234,51140,57.2
11,30,23921,51170,46.7
