id,no_examples,acc_before,acc_after,acc_latent_space
1,32768,68.36,68.37,86.00
2,16384,60.15,60.31,85.18
3,8192,59.95,60.44,83.97
4,4096,54.51,56.83,82.50
5,2048,51.93,53.20,80.40
6,1024,50.47,50.08,77.71
7,512,46.46,48.52,76.99
8,256,42.87,44.41,74.04
9,128,37.22,38.84,65.85
10,60,34.98,35.68,58.93
11,30,26.38,22.89,32.27
