101,3.4
202,5.1
404,5.9
808,7.0
1616,7.9
3232,9.3
6464,10.5
12928,13.1
25856,15.3
51712,18.0
80800,19.6
101,2.8
202,4.9
404,5.9
808,6.4
1616,9.1
3232,9.6
6464,10.8
12928,13.1
25856,15.6
51712,17.5
80800,18.2
101,1.2
202,3.9
404,4.7
808,6.4
1616,8.1
3232,9.1
6464,11.1
12928,12.5
25856,15.4
51712,18.7
80800,18.9
